Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_0110000,"Pf3D7_01_v3:388,372..389,076(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0110100,"Pf3D7_01_v3:389,261..392,065(-)","selenocysteine-specific elongation factor, putative",null,null,GO:0005525;GO:0003924,GTP binding;GTPase activity,null,null,null,null,GO:0003746,translation elongation factor activity,GO:0006414,translational elongation,null,null
PF3D7_0110200,"Pf3D7_01_v3:392,604..393,035(+)","FAD-linked sulfhydryl oxidase ERV1, putative",null,null,GO:0016972,thiol oxidase activity,GO:0055114,oxidation-reduction process,GO:0005739,mitochondrion,null,null,null,null,1.8.3.2 (Thiol oxidase),1.8.3.2 (Thiol oxidase)
PF3D7_0110300,"Pf3D7_01_v3:393,216..393,490(-)",Plasmodium RNA of unknown function RUF5,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0110400,"Pf3D7_01_v3:393,875..394,835(-)","DNA-directed RNA polymerase II subunit RPB9, putative",null,null,GO:0003899;GO:0003676;GO:0008270,DNA-directed 5'-3' RNA polymerase activity;nucleic acid binding;zinc ion binding,GO:0006351,"transcription, DNA-templated",GO:0005665,"RNA polymerase II, core complex",null,null,GO:0006366,transcription by RNA polymerase II,2.7.7.6 (DNA-directed RNA polymerase),2.7.7.6 (DNA-directed RNA polymerase)
PF3D7_0110500,"Pf3D7_01_v3:396,591..403,606(+)","bromodomain protein, putative",null,null,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_0110600,"Pf3D7_01_v3:405,739..412,169(+)",phosphatidylinositol-4-phosphate 5-kinase,null,null,GO:0005509;GO:0016307,calcium ion binding;phosphatidylinositol phosphate kinase activity,GO:0046488,phosphatidylinositol metabolic process,null,null,GO:0016308;GO:0030306;GO:0016773,"1-phosphatidylinositol-4-phosphate 5-kinase activity;ADP-ribosylation factor binding;phosphotransferase activity, alcohol group as acceptor",GO:0046854;GO:0042493,phosphatidylinositol phosphorylation;response to drug,2.7.1.68 (1-phosphatidylinositol-4-phosphate 5-kinase),2.7.1.68 (1-phosphatidylinositol-4-phosphate 5-kinase)
PF3D7_0110700,"Pf3D7_01_v3:413,760..415,100(-)","chromatin assembly factor 1 protein WD40 domain, putative",null,null,GO:0005515,protein binding,null,null,null,null,GO:0042393;GO:0051082,histone binding;unfolded protein binding,GO:0031497;GO:0006334,chromatin assembly;nucleosome assembly,null,null
PF3D7_0110800,"Pf3D7_01_v3:417,921..419,607(+)","transcription initiation factor TFIIB, putative",null,null,GO:0017025,TBP-class protein binding,GO:0006355;GO:0070897,"regulation of transcription, DNA-templated;transcription preinitiation complex assembly",GO:0097550,transcriptional preinitiation complex,GO:0000993,RNA polymerase II complex binding,GO:0051123,RNA polymerase II preinitiation complex assembly,null,3.1.-.- (Acting on ester bonds.)
PF3D7_0110900,"Pf3D7_01_v3:420,293..420,853(-)",adenylate kinase-like protein 1,null,null,null,null,null,null,GO:0005829,cytosol,null,null,null,null,2.7.4.3 (Adenylate kinase),2.7.4.3 (Adenylate kinase)
PF3D7_0111000,"Pf3D7_01_v3:421,776..427,575(-)","kinesin-8, putative",null,null,GO:0005524;GO:0008017;GO:0003777,ATP binding;microtubule binding;microtubule motor activity,GO:0007018,microtubule-based movement,GO:0005871,kinesin complex,GO:0003777,microtubule motor activity,GO:0007018,microtubule-based movement,null,null
PF3D7_0111200,"Pf3D7_01_v3:430,152..430,858(-)","conserved protein, unknown function",null,null,GO:0016208;GO:0003987,AMP binding;acetate-CoA ligase activity,GO:0008152,metabolic process,null,null,null,null,null,null,null,null
PF3D7_0111300,"Pf3D7_01_v3:431,539..435,042(-)","P-loop containing nucleoside triphosphate hydrolase, putative",null,null,GO:0005524,ATP binding,null,null,null,null,null,null,null,null,3.6.1.15 (Nucleoside-triphosphate phosphatase),null
PF3D7_0111400,"Pf3D7_01_v3:436,408..438,564(+)","conserved Plasmodium protein, unknown function",GO:0009986;GO:0005576;GO:0016020,cell surface;extracellular region;membrane,GO:0005509,calcium ion binding,GO:0007155,cell adhesion,null,null,null,null,null,null,null,null
PF3D7_0111500,"Pf3D7_01_v3:439,652..441,418(-)","UMP-CMP kinase, putative",null,null,null,null,null,null,GO:0020011,apicoplast,GO:0004550,nucleoside diphosphate kinase activity,GO:0006165,nucleoside diphosphate phosphorylation,2.7.4.14 (UMP/CMP kinase),2.7.4.14 (UMP/CMP kinase)
PF3D7_0111600,"Pf3D7_01_v3:442,543..443,289(-)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0111700,"Pf3D7_01_v3:443,585..443,938(-)","conserved protein, unknown function",GO:0005737,cytoplasm,GO:0005524;GO:0004822;GO:0008270,ATP binding;isoleucine-tRNA ligase activity;zinc ion binding,GO:0006428;GO:0006412,isoleucyl-tRNA aminoacylation;translation,null,null,null,null,null,null,null,null
PF3D7_0111800,"Pf3D7_01_v3:446,026..448,849(+)","eukaryotic translation initiation factor 4E, putative",GO:0005737,cytoplasm,GO:0003723;GO:0003743,RNA binding;translation initiation factor activity,GO:0006417;GO:0006412;GO:0006413,regulation of translation;translation;translational initiation,null,null,null,null,null,null,null,null
PF3D7_0111900,"Pf3D7_01_v3:450,043..450,646(-)","conserved protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112000,"Pf3D7_01_v3:450,831..453,118(-)",TatD-like deoxyribonuclease,null,null,GO:0016888;GO:0016788,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters;hydrolase activity, acting on ester bonds",null,null,GO:0020011;GO:0009986;GO:0033644;GO:0005634;GO:0020005,apicoplast;cell surface;host cell membrane;nucleus;symbiont-containing vacuole membrane,GO:0004536,deoxyribonuclease activity,GO:0006259;GO:0009405,DNA metabolic process;pathogenesis,3.1.21.- (Endodeoxyribonucleases producing 5'-phosphomonoesters.),3.1.21.- (Endodeoxyribonucleases producing 5'-phosphomonoesters.)
PF3D7_0112100,"Pf3D7_01_v3:454,847..455,338(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112200,"Pf3D7_01_v3:464,726..470,194(+)",multidrug resistance-associated protein 1,GO:0016021,integral component of membrane,GO:0005524;GO:0016887;GO:0042626,"ATP binding;ATPase activity;ATPase activity, coupled to transmembrane movement of substances",GO:0055085,transmembrane transport,GO:0043190;GO:0005887,ATP-binding cassette (ABC) transporter complex;integral component of plasma membrane,GO:0005524;GO:0042626;GO:0043295,"ATP binding;ATPase activity, coupled to transmembrane movement of substances;glutathione binding",GO:0042493;GO:0006810,response to drug;transport,3.6.3.44 (Xenobiotic-transporting ATPase),3.6.3.44 (Xenobiotic-transporting ATPase)
PF3D7_0112300,"Pf3D7_01_v3:473,739..475,887(+)",18S ribosomal RNA,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112400,"Pf3D7_01_v3:475,888..476,286(+)",unspecified product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112500,"Pf3D7_01_v3:476,287..476,428(+)",5.8S ribosomal RNA,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112600,"Pf3D7_01_v3:476,429..477,278(+)",unspecified product,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112700,"Pf3D7_01_v3:477,279..481,382(+)",28S ribosomal RNA,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0112800,"Pf3D7_01_v3:481,809..482,618(-)","Plasmodium exported protein (hyp11), unknown function",null,null,null,null,null,null,GO:0020002,host cell plasma membrane,null,null,null,null,null,null
PF3D7_0112900,"Pf3D7_01_v3:486,500..487,186(+)","Plasmodium exported protein, unknown function",null,null,null,null,null,null,GO:0043657;GO:0044228,host cell;host cell surface,null,null,null,null,null,null
PF3D7_0113000,"Pf3D7_01_v3:487,892..490,127(-)",glutamic acid-rich protein GARP,null,null,null,null,null,null,GO:0044538,host cell periphery,GO:0046789,host cell surface receptor binding,null,null,null,null
PF3D7_0113100,"Pf3D7_01_v3:495,244..500,076(+)",surface-associated interspersed protein 1.1 (SURFIN 1.1),null,null,null,null,null,null,GO:0009986;GO:0044228,cell surface;host cell surface,null,null,null,null,null,null
PF3D7_0113200,"Pf3D7_01_v3:500,959..502,868(-)","Plasmodium exported protein, unknown function",null,null,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_0113300,"Pf3D7_01_v3:504,938..506,874(-)","Plasmodium exported protein (hyp1), unknown function",GO:0016020,membrane,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_0113400,"Pf3D7_01_v3:508,252..509,748(-)","Plasmodium exported protein, unknown function",null,null,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_0113600,"Pf3D7_01_v3:512,086..517,855(+)","surface-associated interspersed protein 1.2 (SURFIN 1.2), pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0113700,"Pf3D7_01_v3:520,807..522,579(+)","heat shock protein 40, type II",null,null,GO:0051082,unfolded protein binding,GO:0006457,protein folding,GO:0044164,host cell cytosol,GO:0051087;GO:0015485;GO:0005515,chaperone binding;cholesterol binding;protein binding,null,null,null,null
PF3D7_0113800,"Pf3D7_01_v3:527,107..536,351(+)","DBL containing protein, unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,null,null,null,null,null,null,null,null
PF3D7_0113900,"Pf3D7_01_v3:537,109..538,025(-)",CX3CL1-binding protein 1,null,null,null,null,null,null,GO:0030430;GO:0044228,host cell cytoplasm;host cell surface,GO:0005515,protein binding,null,null,null,null
PF3D7_0114000,"Pf3D7_01_v3:542,480..546,983(+)",exported protein family 1,null,null,null,null,null,null,GO:0020036,Maurer's cleft,GO:0005515,protein binding,null,null,null,null
PF3D7_0114100,"Pf3D7_01_v3:547,597..548,380(-)",Pfmc-2TM Maurer's cleft two transmembrane protein,null,null,null,null,null,null,GO:0020036;GO:0016021;GO:0005634;GO:0020005,Maurer's cleft;integral component of membrane;nucleus;symbiont-containing vacuole membrane,null,null,GO:0042000,translocation of peptides or proteins into host,null,null
PF3D7_0114200,"Pf3D7_01_v3:550,576..551,713(-)",exported protein family 3,null,null,null,null,null,null,GO:0020036,Maurer's cleft,null,null,null,null,null,null
PF3D7_0114300,"Pf3D7_01_v3:552,640..553,797(+)","exported protein family 4, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0114400,"Pf3D7_01_v3:554,057..555,439(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0114500,"Pf3D7_01_v3:558,201..558,708(-)","Plasmodium exported protein (hyp10), unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_0114600,"Pf3D7_01_v3:560,474..561,534(-)","stevor, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0114700,"Pf3D7_01_v3:563,703..564,842(-)",rifin,GO:0016020,membrane,null,null,null,null,GO:0020002,host cell plasma membrane,null,null,GO:0020033,antigenic variation,null,null
PF3D7_0114800,"Pf3D7_01_v3:569,485..570,272(-)","Plasmodium exported protein (hyp7), unknown function",null,null,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_0114900,"Pf3D7_01_v3:572,135..572,853(-)","Plasmodium exported protein, unknown function, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0115000,"Pf3D7_01_v3:577,704..583,789(+)",surface-associated interspersed protein 1.3 (SURFIN 1.3),null,null,null,null,null,null,GO:0009986;GO:0044228,cell surface;host cell surface,null,null,null,null,null,null
PF3D7_0115050,"Pf3D7_01_v3:584,722..584,867(+)",H/ACA snoRNA,null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0115100,"Pf3D7_01_v3:587,391..588,394(+)","Plasmodium exported protein (PHISTa), unknown function",null,null,null,null,null,null,GO:0043657,host cell,null,null,null,null,null,null
PF3D7_0115150,"Pf3D7_01_v3:589,386..589,994(-)","Plasmodium exported protein, unknown function, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0115200,"Pf3D7_01_v3:591,849..593,187(+)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0115300,"Pf3D7_01_v3:595,102..596,273(+)",rifin,GO:0016020,membrane,null,null,null,null,GO:0020002,host cell plasma membrane,null,null,GO:0020033,antigenic variation,null,null
PF3D7_0115400,"Pf3D7_01_v3:598,465..599,472(+)",stevor,GO:0016020,membrane,null,null,null,null,GO:0020036,Maurer's cleft,null,null,GO:0020013,modulation by symbiont of host erythrocyte aggregation,null,null
PF3D7_0115500,"Pf3D7_01_v3:600,692..601,992(+)","erythrocyte membrane protein 1 (PfEMP1), pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0115600,"Pf3D7_01_v3:604,162..605,531(+)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0115700,"Pf3D7_01_v3:607,390..614,893(-)","erythrocyte membrane protein 1, PfEMP1",GO:0016021,integral component of membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,GO:0020002;GO:0020030,host cell plasma membrane;infected host cell surface knob,GO:0050839,cell adhesion molecule binding,GO:0020033;GO:0098609;GO:0020035;GO:0020013,"antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0200100,"Pf3D7_02_v3:25,232..31,168(+)","erythrocyte membrane protein 1, PfEMP1",GO:0016021,integral component of membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,GO:0020002;GO:0020030,host cell plasma membrane;infected host cell surface knob,GO:0050839;GO:0046789,cell adhesion molecule binding;host cell surface receptor binding,GO:0020033;GO:0098609;GO:0020035,"antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein",null,null
PF3D7_0200200,"Pf3D7_02_v3:33,030..34,259(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0200300,"Pf3D7_02_v3:35,927..37,249(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0200400,"Pf3D7_02_v3:38,287..39,303(-)",stevor,GO:0016020,membrane,null,null,null,null,GO:0020036,Maurer's cleft,null,null,GO:0020013,modulation by symbiont of host erythrocyte aggregation,null,null
PF3D7_0200500,"Pf3D7_02_v3:41,515..42,858(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0200600,"Pf3D7_02_v3:45,286..46,558(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0200700,"Pf3D7_02_v3:48,923..50,147(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0200800,"Pf3D7_02_v3:51,842..53,055(-)","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0200900,"Pf3D7_02_v3:54,254..55,255(-)","stevor, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0201000,"Pf3D7_02_v3:57,344..58,421(-)",rifin,null,null,null,null,null,null,GO:0020002,host cell plasma membrane,null,null,GO:0020033,antigenic variation,null,null
PF3D7_0201100,"Pf3D7_02_v3:60,107..60,319(-)","Plasmodium exported protein, unknown function, fragment",null,null,null,null,null,null,null,null,null,null,null,null,null,null
